color;red;green;blue;hex;color_name;lum;hue;sat;lig
Other;128;0;32;#800020;Burgundy;28;345;100;25
Other;86;3;25;#560319;Dark Scarlet;19;344;93;17
Other;255;193;204;#FFC1CC;Bubble Gum;84;349;100;88
Other;229;43;80;#E52B50;Amaranth;53;348;78;53
Other;204;78;92;#CC4E5C;Dark Terra Cotta;51;353;55;55
Other;152;119;123;#98777B;Bazaar;51;353;14;53
Other;227;38;54;#E32636;Alizarin;51;355;77;52
Other;220;20;60;#DC143C;Crimson;49;348;83;47
Other;227;0;34;#E30022;Cadmium Red;49;351;100;45
Other;196;30;58;#C41E3A;Cardinal;44;350;73;44
Other;137;63;69;#893F45;Cordovan;36;355;37;39
Other;150;0;24;#960018;Carmine;32;350;100;29
Other;101;0;11;#65000B;Rosewood;21;353;100;20
